health_id,battery_source_id,cycle_count,rated_capacity_ah,measured_capacity_ah,voltage,temperature_c,internal_resistance_mohm,soh,source_file,source_url
B0005-D028,B0005,28,1.85649,1.81397,3.55683,31.56559,112.30927,0.9771,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D029,B0005,29,1.85649,1.80277,3.56244,31.59125,113.27222,0.97106,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D030,B0005,30,1.85649,1.80408,3.55914,31.60349,112.32979,0.97177,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D031,B0005,31,1.85649,1.8518,3.55732,31.91556,116.5173,0.99748,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D032,B0005,32,1.85649,1.8307,3.56187,32.08113,116.40026,0.98611,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D033,B0005,33,1.85649,1.8199,3.56176,31.84979,117.22803,0.98029,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D034,B0005,34,1.85649,1.80931,3.55973,31.46569,116.60144,0.97459,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D035,B0005,35,1.85649,1.80461,3.55759,31.40935,118.15745,0.97206,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D036,B0005,36,1.85649,1.79938,3.55972,31.90225,119.42618,0.96924,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D037,B0005,37,1.85649,1.78844,3.55906,31.64902,116.7899,0.96335,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D038,B0005,38,1.85649,1.78292,3.55702,31.48875,118.17027,0.96037,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D039,B0005,39,1.85649,1.77303,3.55625,31.33,118.12397,0.95505,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D040,B0005,40,1.85649,1.77304,3.55328,31.56955,118.07695,0.95505,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D041,B0005,41,1.85649,1.76787,3.55627,32.11143,118.12147,0.95227,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D042,B0005,42,1.85649,1.76232,3.55631,32.27168,118.16262,0.94927,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D043,B0005,43,1.85649,1.76762,3.55895,31.84229,117.80042,0.95213,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D044,B0005,44,1.85649,1.76267,3.55344,31.75982,115.87312,0.94946,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D045,B0005,45,1.85649,1.75173,3.55101,31.41911,120.72738,0.94357,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D046,B0005,46,1.85649,1.74185,3.55132,31.33163,119.29339,0.93825,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D047,B0005,47,1.85649,1.73609,3.549,31.35934,120.92421,0.93515,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D048,B0005,48,1.85649,1.79362,3.55976,34.31088,116.89376,0.96614,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D049,B0005,49,1.85649,1.78319,3.56235,33.43586,119.5715,0.96052,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D050,B0005,50,1.85649,1.76736,3.55834,32.66698,120.87816,0.95199,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D051,B0005,51,1.85649,1.75702,3.55401,32.28423,121.86789,0.94642,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D052,B0005,52,1.85649,1.74687,3.55238,32.00739,120.68012,0.94095,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D053,B0005,53,1.85649,1.74172,3.54962,32.06387,120.83298,0.93818,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D054,B0005,54,1.85649,1.73642,3.54938,32.43755,120.75129,0.93533,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D055,B0005,55,1.85649,1.72632,3.54721,32.1681,122.0613,0.92989,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D056,B0005,56,1.85649,1.71581,3.54671,32.05753,121.10554,0.92422,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D057,B0005,57,1.85649,1.71053,3.54463,31.97592,121.58404,0.92138,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D058,B0005,58,1.85649,1.70601,3.54363,32.21689,122.24993,0.91895,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D059,B0005,59,1.85649,1.70031,3.54449,32.55633,122.01715,0.91588,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D060,B0005,60,1.85649,1.69458,3.54092,32.40048,120.66938,0.91279,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D061,B0005,61,1.85649,1.6849,3.5412,32.29372,122.33569,0.90758,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D062,B0005,62,1.85649,1.67447,3.54067,32.13607,122.00548,0.90196,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D063,B0005,63,1.85649,1.67457,3.5376,32.38269,123.25625,0.90201,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D064,B0005,64,1.85649,1.66372,3.53842,32.309,123.12923,0.89616,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D065,B0005,65,1.85649,1.65901,3.53929,32.56637,118.46275,0.89363,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D066,B0005,66,1.85649,1.65385,3.53369,32.46543,123.22907,0.89085,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D067,B0005,67,1.85649,1.64265,3.53437,32.34706,123.07877,0.88482,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D068,B0005,68,1.85649,1.63786,3.53129,32.37154,124.40812,0.88223,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D069,B0005,69,1.85649,1.63274,3.53091,32.45549,123.08983,0.87948,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D070,B0005,70,1.85649,1.62775,3.52872,32.50017,123.68691,0.87679,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D071,B0005,71,1.85649,1.62213,3.52625,32.501,123.92355,0.87376,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D072,B0005,72,1.85649,1.61133,3.52868,32.47289,124.41475,0.86794,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D073,B0005,73,1.85649,1.60656,3.52556,32.5048,123.24101,0.86538,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D074,B0005,74,1.85649,1.60151,3.52268,32.51218,124.573,0.86266,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D075,B0005,75,1.85649,1.59037,3.52467,32.45693,123.88648,0.85665,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D076,B0005,76,1.85649,1.58579,3.52132,32.44706,124.56214,0.85419,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D077,B0005,77,1.85649,1.58494,3.51803,32.3289,125.55707,0.85373,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D078,B0005,78,1.85649,1.59553,3.52368,32.84488,129.33818,0.85943,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D079,B0005,79,1.85649,1.57473,3.51915,32.31732,134.21724,0.84823,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D080,B0005,80,1.85649,1.5649,3.51623,32.06376,135.26409,0.84294,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D081,B0005,81,1.85649,1.55977,3.51477,32.21998,135.53045,0.84017,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D082,B0005,82,1.85649,1.55948,3.5133,32.71202,135.84106,0.84002,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D083,B0005,83,1.85649,1.55469,3.51448,32.94502,137.09561,0.83744,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D084,B0005,84,1.85649,1.54887,3.51097,32.85755,138.21491,0.8343,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D085,B0005,85,1.85649,1.53824,3.51094,32.62966,138.02611,0.82857,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D086,B0005,86,1.85649,1.52791,3.50939,32.37986,139.4998,0.82301,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D087,B0005,87,1.85649,1.52853,3.50668,32.68216,139.66652,0.82334,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D088,B0005,88,1.85649,1.52265,3.51099,32.99387,141.27735,0.82018,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D089,B0005,89,1.85649,1.51749,3.51031,33.0454,139.11674,0.8174,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D090,B0005,90,1.85649,1.60582,3.52222,32.8563,139.58777,0.86498,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D091,B0005,91,1.85649,1.56385,3.51635,33.3395,132.98809,0.84237,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D092,B0005,92,1.85649,1.54809,3.51344,33.35156,139.69036,0.83388,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D093,B0005,93,1.85649,1.53238,3.51514,33.14749,137.6659,0.82542,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D094,B0005,94,1.85649,1.52695,3.5083,33.00728,140.01786,0.8225,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D095,B0005,95,1.85649,1.51696,3.50919,32.91991,139.16969,0.81711,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D096,B0005,96,1.85649,1.5119,3.50681,32.99903,141.1561,0.81439,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D097,B0005,97,1.85649,1.50656,3.50609,33.03772,140.99536,0.81151,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D098,B0005,98,1.85649,1.50155,3.50372,33.0774,140.63865,0.80881,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D099,B0005,99,1.85649,1.49084,3.50675,33.05468,140.99944,0.80305,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D100,B0005,100,1.85649,1.48587,3.50588,33.1157,140.66001,0.80037,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D101,B0005,101,1.85649,1.48041,3.50417,33.12942,141.13946,0.79743,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
B0005-D102,B0005,102,1.85649,1.47521,3.50306,33.13068,141.2277,0.79462,data/raw/nasa/battery_dataset/5. Battery Data Set/1. BatteryAgingARC-FY08Q4/B0005.mat,https://phm-datasets.s3.amazonaws.com/NASA/5.+Battery+Data+Set.zip
