battery_id,image_path,source_type,source_area,previous_application,health_id,image_source_url,image_license,health_source
DXB-REAL-BAT-062,data/images/prismatic/recybat24_prismatic_002_3_4_F_3_pri.jpg,EV service center,Downtown Dubai,EV service module,B0007-D100,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-063,data/images/prismatic/recybat24_prismatic_003_17_5_F_1_pri.jpg,solar storage,Deira,residential solar storage,B0007-D107,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-064,data/images/prismatic/recybat24_prismatic_004_9_5_F_3_pri.jpg,smart building backup,Business Bay,UPS backup module,B0007-D114,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-065,data/images/prismatic/recybat24_prismatic_005_14_1_F_2_pri.jpg,micro-mobility operator,Dubai Marina,shared scooter pack,B0007-D122,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-066,data/images/prismatic/recybat24_prismatic_006_15_1_F_1_pri.jpg,e-bike fleet,Jebel Ali,commercial energy storage,B0007-D129,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-067,data/images/prismatic/recybat24_prismatic_007_17_2_F_2_pri.jpg,EV service center,Al Quoz,delivery mobility,B0007-D136,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-068,data/images/prismatic/recybat24_prismatic_008_7_4_F_1_pri.jpg,solar storage,Dubai Silicon Oasis,EV service module,B0007-D143,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-069,data/images/prismatic/recybat24_prismatic_009_22_4_F_2_pri.jpg,smart building backup,Downtown Dubai,residential solar storage,B0007-D150,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-070,data/images/prismatic/recybat24_prismatic_010_18_5_F_1_pri.jpg,micro-mobility operator,Deira,UPS backup module,B0007-D157,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-071,data/images/prismatic/recybat24_prismatic_011_9_1_F_2_pri.jpg,e-bike fleet,Business Bay,shared scooter pack,B0007-D164,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-072,data/images/prismatic/recybat24_prismatic_012_2_2_F_2_pri.jpg,EV service center,Dubai Marina,commercial energy storage,B0018-D004,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-073,data/images/prismatic/recybat24_prismatic_013_16_2_F_2_pri.jpg,solar storage,Jebel Ali,delivery mobility,B0018-D011,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-074,data/images/prismatic/recybat24_prismatic_014_9_1_F_1_pri.jpg,smart building backup,Al Quoz,EV service module,B0018-D018,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-075,data/images/prismatic/recybat24_prismatic_015_18_4_F_3_pri.jpg,micro-mobility operator,Dubai Silicon Oasis,residential solar storage,B0018-D025,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-076,data/images/prismatic/recybat24_prismatic_016_16_3_F_1_pri.jpg,e-bike fleet,Downtown Dubai,UPS backup module,B0018-D032,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-077,data/images/prismatic/recybat24_prismatic_017_8_3_F_2_pri.jpg,EV service center,Deira,shared scooter pack,B0018-D039,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-078,data/images/prismatic/recybat24_prismatic_018_21_1_F_2_pri.jpg,solar storage,Business Bay,commercial energy storage,B0018-D046,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-079,data/images/prismatic/recybat24_prismatic_019_12_5_F_2_pri.jpg,smart building backup,Dubai Marina,delivery mobility,B0018-D054,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-080,data/images/prismatic/recybat24_prismatic_020_4_1_F_3_pri.jpg,micro-mobility operator,Jebel Ali,EV service module,B0018-D061,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-081,data/images/prismatic/recybat24_prismatic_021_6_1_F_1_pri.jpg,e-bike fleet,Al Quoz,residential solar storage,B0018-D068,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-082,data/images/prismatic/recybat24_prismatic_022_8_5_F_2_pri.jpg,EV service center,Dubai Silicon Oasis,UPS backup module,B0018-D075,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-083,data/images/prismatic/recybat24_prismatic_023_5_3_F_3_pri.jpg,solar storage,Downtown Dubai,shared scooter pack,B0018-D082,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-084,data/images/prismatic/recybat24_prismatic_024_5_1_F_2_pri.jpg,smart building backup,Deira,commercial energy storage,B0018-D089,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-085,data/images/prismatic/recybat24_prismatic_025_12_4_F_1_pri.jpg,micro-mobility operator,Business Bay,delivery mobility,B0018-D096,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-086,data/images/prismatic/recybat24_prismatic_026_15_1_F_3_pri.jpg,e-bike fleet,Dubai Marina,EV service module,B0018-D103,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-087,data/images/prismatic/recybat24_prismatic_027_3_1_F_2_pri.jpg,EV service center,Jebel Ali,residential solar storage,B0018-D111,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-088,data/images/prismatic/recybat24_prismatic_028_11_4_F_3_pri.jpg,solar storage,Al Quoz,UPS backup module,B0018-D118,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-089,data/images/prismatic/recybat24_prismatic_029_17_4_F_1_pri.jpg,smart building backup,Dubai Silicon Oasis,shared scooter pack,B0018-D125,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
DXB-REAL-BAT-090,data/images/prismatic/recybat24_prismatic_030_1_5_F_3_pri.jpg,micro-mobility operator,Downtown Dubai,commercial energy storage,B0018-D132,https://zenodo.org/records/15226091,CC-BY-4.0,NASA PCoE Battery Data Set
